SLNO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
100,0.0,0.0,0.24944812362,0,0,0,0.0,0.0,0,1,0,http://ahfd.ap.nic.in
101,477.0,0.129979035639,0.16142557652,3,27,89,840.487304688,86.6000355542,25,5,0,http://ahmedabad.gujarat.gov.in
102,199.0,0.0552763819095,1.41708542714,0,24,52,5283.20507812,94.6020537516,102,24,34,http://ahmedabadcity.gov.in
103,17.0,0.0,0.0588235294118,0,9,3,468.427734375,93.6852419372,0,9,0,http://ahmedabadcustoms.gov.in
104,376.0,0.130319148936,0.492021276596,0,4,84,614.0,64.6737263335,28,8,8,http://ahmednagar.gov.in
105,193.0,0.00518134715026,0.124352331606,0,78,8,249.690429688,92.9400859658,17,7,2,http://ahrc.gov.in
106,0.0,0.0,0.124352331606,0,0,0,0.0,0.0,0,1,0,http://ahvassam.gov.in
107,0.0,0.0,0.124352331606,0,0,0,0.0,0.0,0,1,0,http://ahvs.andaman.gov.in
108,808.0,0.0284653465347,0.324257425743,1,3,46,3920.58398438,94.4506134739,23,5,0,http://aiihph.gov.in
109,1279.0,0.473807662236,0.285379202502,1,28,30,2868.70117188,94.3915848241,35,5,49,http://aiimsraipur.edu.in
110,457.0,0.157549234136,0.218818380744,1,6,75,1009.70800781,96.0918466334,10,13,0,http://aiipmr.gov.in
111,359.0,0.0863509749304,0.278551532033,1,4,30,504.109375,88.174921737,8,16,0,http://aipmt.nic.in
112,275.0,0.0290909090909,0.123636363636,2,8,17,443.03515625,90.0872444166,11,15,0,http://aipvt.vci.nic.in
113,177.0,0.112994350282,0.16384180791,1,12,20,217.740234375,94.6480629334,5,8,1,http://airguwahati.gov.in
114,11.0,0.181818181818,0.181818181818,0,1,0,0.48046875,0.0,0,1,0,http://airnsd.nic.in
115,39.0,0.179487179487,0.410256410256,0,24,10,55.328125,93.4781841288,2,7,4,http://airpanaji.gov.in
116,114.0,0.815789473684,0.30701754386,2,67,6,2233.08203125,78.6922152504,11,3,55,http://airsewa.gov.in
117,0.0,0.0,0.30701754386,0,0,0,0.0,0.0,0,1,0,http://aises.nic.in
