SL_NO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
93,2418.0,0.022746071133167907,242,4,11,98,1762.8935546875,90.24215005182242,60,5,0
94,327.0,0.07951070336391437,62,0,17,65,1783.1337890625,87.75609566417971,11,2,0
95,707.0,0.07920792079207921,79,2,14,48,3755.55078125,90.09128155095426,30,6,0
96,759.0,0.1370223978919631,142,0,23,58,2772.1201171875,84.81232810937308,29,7,0
97,1144.0,0.056818181818181816,169,6,6,175,1064.98046875,89.6892365250243,80,3,0
98,418.0,0.423444976076555,111,1,30,62,792.7001953125,78.99867565986017,15,4,65
99,663.0,0.29411764705882354,153,1,26,41,1311.4482421875,90.50935906228429,18,4,1
100,400.0,0.3225,104,0,19,52,900.3857421875,94.60300760850113,22,2,1
101,547.0,0.27239488117001825,143,1,29,55,1013.650390625,96.92170739649588,28,5,0
102,259.0,0.10810810810810811,66,0,10,47,526.765625,98.67354581318779,13,2,0
103,307.0,0.22149837133550487,93,0,11,88,2152.4375,95.94105701385058,32,8,0
104,850.0,0.06823529411764706,150,4,39,52,1342.4560546875,88.10577045483478,33,6,0
105,586.0,0.032423208191126277,75,1,18,38,3149.0732421875,95.96508273298413,22,3,8
106,474.0,0.008438818565400843,108,2,16,44,2564.578125,93.68994961403253,14,2,0
107,0.0,0.0,0,0,0,0,1.0166015625,0.0,0,3,6
108,1197.0,0.09440267335004177,188,8,86,72,9654.8798828125,98.1469458095642,42,7,0
109,1569.0,0.06755895474824729,300,1,63,75,2460.8291015625,77.98375245893767,43,9,0
110,285.0,0.07368421052631578,29,0,15,73,234.208984375,72.35083183921945,15,1,1
111,1865.0,0.008579088471849867,131,0,68,83,462.134765625,58.012662026177765,27,1,1
112,269.0,0.08178438661710037,28,0,78,76,33.96875,12.551747930082797,50,2,1
113,608.0,0.11019736842105263,88,0,87,116,230.0498046875,79.11627492348379,48,4,1
114,509.0,0.03536345776031434,52,0,61,93,32.5,0.0,41,2,8
115,359.0,0.40668523676880225,27,0,87,109,7555.0390625,99.31250613983838,62,2,1
116,487.0,0.045174537987679675,30,0,226,87,49.166015625,4.739204703452112,142,2,1
117,340.0,0.047058823529411764,28,1,69,72,30.5224609375,6.047032474804031,43,2,1
118,284.0,0.07394366197183098,73,0,13,33,1271.43359375,67.51029995053565,14,4,0
119,901.0,0.1365149833518313,104,1,28,153,837.283203125,87.36974823240158,48,4,0
120,649.0,0.44684129429892144,129,0,37,94,1534.193359375,90.24139823069686,40,4,70
121,1970.0,0.07106598984771574,346,0,27,103,2270.904296875,89.2762812171294,87,5,2
122,574.0,0.078397212543554,50,0,14,73,1225.806640625,91.64110686043789,14,4,0
123,28.0,0.0,1,0,0,15,69.23828125,90.16220028208745,5,1,0
124,333.0,0.8168168168168168,26,0,43,57,2509.943359375,78.49751496197545,138,2,0
125,1405.0,0.06263345195729537,132,0,65,85,4113.0966796875,78.03676375791791,13,4,0
126,556.0,0.023381294964028777,169,0,1,70,5242.8681640625,91.41074640643717,13,9,0
127,857.0,0.1411901983663944,162,0,48,164,526.30859375,94.15760567039003,11,3,28
128,0.0,0.0,0,0,0,0,0.5439453125,0.0,0,1,0
129,161.0,0.07453416149068323,61,1,29,22,277.6376953125,75.08556072613182,11,4,0
130,657.0,0.1293759512937595,117,0,29,125,9163.9921875,94.89722214407442,38,10,0
131,337.0,0.10089020771513353,40,0,17,38,558.8623046875,87.19304530164693,16,5,0
132,418.0,0.2727272727272727,106,0,18,78,2009.865234375,92.83485463791396,9,5,0
133,590.0,0.08135593220338982,75,0,16,120,610.0302734375,86.2140230617397,7,3,0
