SL_NO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
46,190.0,0.09473684210526316,38,1,9,21,4300.033203125,94.48046594843699,27,6,73
47,304.0,0.04276315789473684,36,1,2,55,12022.599609375,99.33957385919194,40,11,0
48,427.0,0.0,252,6,86,60,805.771484375,97.64552605107198,70,14,24
49,574.0,0.06620209059233449,86,2,75,98,1483.25390625,98.7167939996787,109,13,3
50,133.0,0.2781954887218045,30,1,12,27,1236.4833984375,94.5596090222476,89,18,0
51,674.0,0.0,98,1,1,62,414.787109375,98.11932891025612,17,10,2
52,295.0,0.05084745762711865,87,1,49,60,1512.6640625,91.98698746520263,25,10,1
53,441.0,0.009070294784580499,63,3,112,65,1614.6123046875,95.02601667026539,70,11,1
54,454.0,0.1145374449339207,53,0,6,72,2107.7783203125,97.80898967505496,50,10,0
55,453.0,0.11037527593818984,215,0,19,61,2187.3095703125,78.93879154658553,16,11,35
56,0.0,0.0,40,0,2,57,146.392578125,92.84484943898177,7,7,0
57,367.0,0.0,33,1,373,26,1682.2548828125,95.92117629506991,21,16,2
58,378.0,0.0,44,2,89,52,1206.81640625,93.76620434057843,56,12,4
59,44.0,3.0454545454545454,16,1,60,13,1358.0419921875,66.9633656566964,35,14,109
60,109.0,0.06422018348623854,26,0,10,35,4056.6630859375,99.23132346643241,20,15,0
61,70.0,0.6,13,0,44,3,5060.8544921875,20.60054242167834,66,17,4
62,138.0,0.014492753623188406,84,1,192,31,771.833984375,96.53030651932416,20,13,11
63,58.0,0.06896551724137931,6,1,5,26,17.7783203125,2.125789618236748,26,3,1
64,218.0,0.03669724770642202,49,2,7,6,37.3828125,59.37826541274817,7,3,8
65,571.0,0.0,21,0,141,44,565.6689453125,91.49375480150886,20,13,0
66,0.0,0.0,5,0,11,22,548.8115234375,85.66931739928076,19,11,0
67,269.0,0.0,36,1,19,20,336.6845703125,94.94032166838281,3,20,0
68,18.0,0.0,20,0,4,0,0.7314453125,0.0,0,4,1
69,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
70,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
71,234.0,0.04700854700854701,77,0,31,32,90.958984375,88.8321058169247,8,8,8
72,215.0,0.018604651162790697,62,0,31,28,93.1494140625,89.14399538711537,7,10,7
73,278.0,0.3597122302158273,47,0,162,81,427.9189453125,89.92489542183853,55,7,24
74,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
75,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
76,140.0,0.03571428571428571,12,0,1,49,338.7412109375,78.42021962055058,3,10,3
