p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
0.0,0.0,0.0,0.0,23.0,0.0,303.001,97.6002,21.0,10.0,0.0,http://jhajjar.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,401.4639,97.9192,21.0,10.0,0.0,http://rewari.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,500.6309,98.1584,21.0,9.0,0.0,http://hisar.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,506.2812,98.4071,24.0,13.0,0.0,http://jind.haryanapolice.gov.in
0.0,0.0,0.0,0.0,31.0,0.0,270.9473,58.6106,102.0,1.0,0.0,http://jnvhaveri.gov.in
0.0,0.0,0.0,0.0,41.0,43.0,428.9941,76.7158,65.0,9.0,6.0,http://www.mca.gov.in/MCA21
0.0,0.0,0.0,0.0,45.0,33.0,742.5713,96.213,28.0,10.0,5.0,http://www.wakf.gov.in
0.0,0.0,0.0,0.0,67.0,55.0,218.0449,90.8334,31.0,6.0,20.0,http://kvszietchandigarh.org
0.0,0.0,0.0,0.0,67.0,55.0,218.0967,90.8118,31.0,6.0,20.0,http://www.kv2jaipur.org
0.0,0.0,0.0,0.0,77.0,45.0,460.6738,91.2357,23.0,9.0,30.0,http://www.bhelhwr.co.in
0.0,0.0,0.0,0.0,89.0,105.0,866.8623,95.3283,56.0,18.0,3.0,http://agra.nic.in
0.0,0.0,0.0,0.0,105.0,34.0,456.2861,38.885,45.0,19.0,13.0,http://pgimer.edu.in
0.0,0.0,0.0,0.0,247.0,26.0,348.2764,82.442,78.0,11.0,0.0,http://ordnancedumdum.nic.in
0.0,0.0,0.0,1.0,0.0,0.0,0.3809,0.0,0.0,15.0,0.0,http://iitmenvis.nic.in
0.0,0.0,0.0,1.0,0.0,0.0,1.2217,0.0,0.0,2.0,0.0,http://nmew.gov.in
0.0,0.0,0.0,1.0,0.0,0.0,43.1445,98.8728,1.0,4.0,0.0,http://www.mtcbus.org
0.0,0.0,0.0,1.0,0.0,0.0,406.4189,98.1183,9.0,8.0,0.0,http://edistrict.punjabgovt.gov.in
0.0,0.0,0.0,1.0,0.0,0.0,8549.1055,99.9901,3.0,11.0,0.0,http://nbqp.qci.org.in
0.0,0.0,0.0,1.0,7.0,0.0,2538.4688,99.2506,22.0,17.0,0.0,http://wbnorthbengaldev.gov.in
0.0,0.0,0.0,1.0,67.0,0.0,911.5293,94.3454,19.0,1.0,2.0,http://sonipat.haryanapolice.gov.in
0.0,0.0,0.0,2.0,198.0,0.0,5630.4189,89.6577,94.0,17.0,1.0,http://mksp.gov.in
1.0,0.0,0.0,0.0,0.0,0.0,0.1992,0.0,0.0,1.0,0.0,http://swrtc.cgg.gov.in
1.0,0.0,0.0,0.0,0.0,0.0,0.2461,0.0,0.0,1.0,0.0,http://recruitment.kar.nic.in
1.0,0.0,0.0,0.0,0.0,0.0,0.3555,0.0,0.0,1.0,0.0,http://swaasthindia.gov.in
1.0,0.0,0.0,0.0,0.0,1.0,229.54,71.095,5.0,3.0,0.0,http://pmkvyofficial.org
1.0,0.0,0.0,0.0,11.0,36.0,820.9629,91.2461,26.0,11.0,1.0,http://gama.gov.in
1.0,0.0,0.0,1.0,2.0,2.0,1941.7754,98.978,11.0,16.0,0.0,http://www.citcochandigarh.gov.in
1.0,0.0,0.0,1.0,8.0,1.0,368.4609,97.4421,4.0,9.0,0.0,http://govtpressmp.nic.in
1.0,0.0,1.0,0.0,2.0,0.0,29.1514,98.2982,1.0,2.0,0.0,http://emshousingkerala.gov.in
1.0,0.0,1.0,0.0,8.0,1.0,1.4902,0.0,0.0,1.0,2.0,http://www.kuvempuuniversitydde.org
1.0,0.0,2.0,0.0,11.0,1.0,414.7109,98.6533,7.0,9.0,2.0,http://drdj.nic.in
1.0,0.0,33.0,0.0,94.0,29.0,219.2832,64.7417,37.0,7.0,0.0,http://www.ciil.org
1.0,70.0,0.0,1.0,21.0,16.0,2989.1172,91.9582,31.0,7.0,19.0,http://www.sportscouncil.kerala.gov.in
2.0,0.0,0.0,0.0,0.0,0.0,0.1982,0.0,0.0,1.0,0.0,http://as1.and.nic.in
2.0,0.0,0.0,0.0,0.0,1.0,1259.4277,99.6718,1.0,17.0,1.0,http://www.mmrda.maharashtra.gov.in
2.0,0.0,0.0,0.0,5.0,0.0,0.9668,0.0,1.0,1.0,0.0,http://www.nicf.gov.in
2.0,0.0,0.0,0.0,5.0,1.0,15.5049,57.9958,0.0,12.0,0.0,http://mahasilk.maharashtra.gov.in
2.0,0.0,0.0,1.0,1.0,1.0,122.6562,93.0064,3.0,4.0,0.0,http://www.nsez.gov.in
2.0,0.0,0.5,0.0,2.0,2.0,703.0312,93.7885,4.0,5.0,6.0,http://sangeetnatak.gov.in
2.0,0.0,1.0,0.0,3.0,1.0,7.2832,83.4942,0.0,1.0,0.0,http://www.gmdcltd.com
2.0,0.0,15.0,0.0,8.0,49.0,1856.1562,96.901,36.0,13.0,2.0,http://www.usof.gov.in
2.0,0.0,31.0,0.0,25.0,16.0,492.4971,95.3156,19.0,10.0,2.0,http://banglarbhumi.gov.in
2.0,1.0,0.0,0.0,0.0,1.0,1.8438,0.0,0.0,2.0,1.0,http://www.dietsantrampur.org
2.0,1.0,0.0,0.0,1.0,1.0,1304.71,81.0145,1.0,2.0,0.0,http://apcustoms.gov.in
2.0,1.0,0.5,0.0,0.0,0.0,0.2783,0.0,0.0,1.0,0.0,http://tcilcorp.gov.in
2.0,1.0,0.5,0.0,0.0,0.0,0.3223,0.0,0.0,1.0,0.0,http://orangtigerreserve.gov.in
2.0,1.0,0.5,0.0,0.0,0.0,0.3223,0.0,0.0,1.0,0.0,http://www.karnatakayouthportal.in
